method,index_seconds,mean_query_latency_ms,parameter_count,parameter_memory_mb,local_artifact_mb,query_encoding_seconds,similarity_seconds
TF-IDF,0.11921510001411662,0.015786488549904137,0,0.0,2.0299386978149414,,
BM25,0.018641100003151223,1.041361849676231,0,0.0,0.8972415924072266,,
MiniLM-BiEncoder,6.891741400002502,1.3539403170873987,22713216,86.64404296875,1.0211181640625,23.041154799982905,0.01644880001549609
MiniLM-BiEncoder+CrossEncoder,6.891741400002502,228.0299971168523,45426817,173.28955459594727,1.0211181640625,,
