method,subset,queries,recall@1,hit@1,recall@5,hit@5,recall@10,hit@10,mrr@10,ndcg@10,map@10
TF-IDF,all,17030,0.2715110589156391,0.27228420434527306,0.4919064396163634,0.49295361127422194,0.5945331767469172,0.5954785672342924,0.36669982477234386,0.42042755025603396,0.36603459658803167
BM25,all,17030,0.23822665883734587,0.23875513799177922,0.4443765903307888,0.44521432765707575,0.5292777451556077,0.5303581914268937,0.32629482053146175,0.3744238512967229,0.32577101644468054
MiniLM-BiEncoder,all,17030,0.3004423566255627,0.30135055783910747,0.5615384615384615,0.5629477392836172,0.6708563319632023,0.6721080446271286,0.412818322474811,0.4739501992765771,0.4120467941727483
MiniLM-BiEncoder+CrossEncoder,all,17030,0.35196711685261306,0.3529653552554316,0.6161861421021726,0.6174985320023488,0.7098669015462908,0.7110980622431005,0.4649782596538322,0.5233490265268407,0.4641688756536085
TF-IDF,strict,14868,0.23078647654918838,0.23150390099542642,0.4453636445161869,0.4463276836158192,0.5529593758407318,0.5538740920096852,0.32348887138031607,0.3774732687597253,0.32290635991789474
BM25,strict,14868,0.2122679580306699,0.21273876782351359,0.40575284727827104,0.4065106268496099,0.49038875437180524,0.49145816518697877,0.29477227645609405,0.3410644443094268,0.29432299562428027
MiniLM-BiEncoder,strict,14868,0.27502241951394496,0.2758272800645682,0.5328221684153888,0.534167339252085,0.6467032104743968,0.6480360505784235,0.38616086108015085,0.44779771706663773,0.3854474507945048
MiniLM-BiEncoder+CrossEncoder,strict,14868,0.3168549905838041,0.3177293516276567,0.583881490449287,0.5851493139628733,0.6852995247063043,0.6865079365079365,0.43103445238735794,0.49154762030292787,0.4303141134043071
