position,token,token_id,is_special,cls_attention
0,[CLS],101,True,0.02446289360523224
1,2015,2325,False,0.026690291240811348
2,ukraine,5924,False,0.03903382271528244
3,electric,3751,False,0.02276872657239437
4,power,2373,False,0.019710678607225418
5,attack,2886,False,0.03278278186917305
6,.,1012,False,0.008758509531617165
7,during,2076,False,0.024105258285999298
8,the,1996,False,0.004650302696973085
9,2015,2325,False,0.02935156226158142
10,ukraine,5924,False,0.04921162128448486
11,electric,3751,False,0.021289953961968422
12,power,2373,False,0.01642523892223835
13,attack,2886,False,0.038024142384529114
14,",",1010,False,0.006688805762678385
15,sand,5472,False,0.023740554228425026
16,##worm,22769,False,0.04499739408493042
17,team,2136,False,0.024052241817116737
18,moved,2333,False,0.03415912389755249
19,their,2037,False,0.011682271026074886
20,tools,5906,False,0.05234710872173309
21,lateral,11457,False,0.05259351059794426
22,##ly,2135,False,0.008924118243157864
23,within,2306,False,0.015027900226414204
24,the,1996,False,0.002161037875339389
25,corporate,5971,False,0.03465726226568222
26,network,2897,False,0.013620787300169468
27,and,1998,False,0.007872172631323338
28,between,2090,False,0.020992038771510124
29,the,1996,False,0.0028665203135460615
30,ic,24582,False,0.010501923970878124
31,##s,2015,False,0.0031096532475203276
32,and,1998,False,0.003738824976608157
33,corporate,5971,False,0.013490310870110989
34,network,2897,False,0.004354603588581085
35,.,1012,False,0.007097989786416292
36,[SEP],102,True,0.02739037573337555
37,t,1056,False,0.0018564112251624465
38,##15,16068,False,0.0016227168962359428
39,##70,19841,False,0.0021297342609614134
40,.,1012,False,0.0025830480735749006
41,lateral,11457,False,0.0178028903901577
42,tool,6994,False,0.007176382467150688
43,transfer,4651,False,0.006870365235954523
44,.,1012,False,0.0013656364753842354
45,ad,4748,False,0.0015739361988380551
46,##vers,14028,False,0.0022940104827284813
47,##aries,12086,False,0.004900709725916386
48,may,2089,False,0.0023696322459727526
49,transfer,4651,False,0.003355525666847825
50,tools,5906,False,0.00250686751678586
51,or,2030,False,0.0002893569180741906
52,other,2060,False,0.00032499220105819404
53,files,6764,False,0.0020873502362519503
54,between,2090,False,0.00306222983635962
55,systems,3001,False,0.002020173938944936
56,in,1999,False,0.00038584068533964455
57,a,1037,False,0.0003931229002773762
58,compromised,20419,False,0.005752986762672663
59,environment,4044,False,0.0016635452629998326
60,.,1012,False,0.0008809005375951529
61,once,2320,False,0.0010318222921341658
62,brought,2716,False,0.0007245365413837135
63,into,2046,False,0.00029711247771047056
64,the,1996,False,0.00024078560818452388
65,victim,6778,False,0.003540275851264596
66,environment,4044,False,0.0007526811095885932
67,(,1006,False,0.00031823801691643894
68,i,1045,False,0.0006037745042704046
69,.,1012,False,0.00022529507987201214
70,e,1041,False,0.0005184454494155943
71,.,1012,False,0.000236510721151717
72,",",1010,False,0.0003941175527870655
73,ing,13749,False,0.0006566872471012175
74,##ress,8303,False,0.0009276790660806
75,tool,6994,False,0.0015619824407622218
76,transfer,4651,False,0.0027236437890678644
77,),1007,False,0.00044724668259732425
78,files,6764,False,0.0015188032994046807
79,may,2089,False,0.0011355523020029068
80,then,2059,False,0.0013474366860464215
81,be,2022,False,0.0007524369866587222
82,copied,15826,False,0.0022728322073817253
83,from,2013,False,0.0002575406397227198
84,one,2028,False,0.00037653828621841967
85,system,2291,False,0.0012603235663846135
86,to,2000,False,0.00032950410968624055
87,another,2178,False,0.0004232783103361726
88,to,2000,False,0.0003143477370031178
89,stage,2754,False,0.0012619436020031571
90,adversary,27248,False,0.006226066965609789
91,tools,5906,False,0.0014598425477743149
92,or,2030,False,0.00024024675076361746
93,other,2060,False,0.00018194042786490172
94,files,6764,False,0.0013079787604510784
95,over,2058,False,0.00031916084117256105
96,the,1996,False,0.00031324554583989084
97,course,2607,False,0.0006001534056849778
98,of,1997,False,0.00017523403221275657
99,an,2019,False,0.0003171144926454872
100,operation,3169,False,0.0019472340354695916
101,.,1012,False,0.0008992039947770536
102,ad,4748,False,0.0004275254032108933
103,##vers,14028,False,0.0009769676253199577
104,##aries,12086,False,0.0011984072625637054
105,may,2089,False,0.0008125755121000111
106,copy,6100,False,0.001572367618791759
107,files,6764,False,0.0008104848675429821
108,between,2090,False,0.0005184591864235699
109,internal,4722,False,0.0006766954902559519
110,victim,6778,False,0.003690701676532626
111,systems,3001,False,0.0008438618388026953
112,to,2000,False,0.0002435434580547735
113,support,2490,False,0.0008527320460416377
114,lateral,11457,False,0.006301498506218195
115,movement,2929,False,0.004510622937232256
116,using,2478,False,0.00039303963421843946
117,inherent,16112,False,0.0003832911897916347
118,file,5371,False,0.0006448091589845717
119,sharing,6631,False,0.0003512422554194927
120,protocols,16744,False,0.0005426410934887826
121,such,2107,False,0.0002503591531421989
122,as,2004,False,0.00015422447177115828
123,file,5371,False,0.00039084674790501595
124,sharing,6631,False,0.00025563788949511945
125,over,2058,False,0.00015248307317961007
126,sm,15488,False,0.000655983982142061
127,##b,2497,False,0.0005500143743120134
128,/,1013,False,0.00016619467351119965
129,windows,3645,False,0.0017271145479753613
130,ad,4748,False,0.0002664078201632947
131,##min,10020,False,0.0005390505539253354
132,shares,6661,False,0.00032157733221538365
133,to,2000,False,0.00017955225484911352
134,connected,4198,False,0.0005318348412401974
135,network,2897,False,0.0011429585283622146
136,shares,6661,False,0.00034436004352755845
137,or,2030,False,0.00022645982971880585
138,with,2007,False,0.00017240723536815494
139,authentic,14469,False,0.0004896906320936978
140,##ated,4383,False,0.000153125190990977
141,connections,7264,False,0.0004757887509185821
142,via,3081,False,0.0002502502466086298
143,remote,6556,False,0.000594112672843039
144,desktop,15363,False,0.00040000551962293684
145,protocol,8778,False,0.0005482534761540592
146,.,1012,False,0.0007408231031149626
147,files,6764,False,0.0009373389766551554
148,can,2064,False,0.0005315584712661803
149,also,2036,False,0.0005820507649332285
150,be,2022,False,0.00029064971022307873
151,transferred,4015,False,0.001654181513004005
152,using,2478,False,0.0003898741852026433
153,native,3128,False,0.0003732636396307498
154,or,2030,False,0.00018369928875472397
155,otherwise,4728,False,0.00017298587772529572
156,present,2556,False,0.000260266155237332
157,tools,5906,False,0.0010319597786292434
158,on,2006,False,0.000328983151121065
159,the,1996,False,0.0002304551744600758
160,victim,6778,False,0.0024250259157270193
161,system,2291,False,0.0004924249951727688
162,",",1010,False,0.00045450430479831994
163,such,2107,False,0.00035823319922201335
164,as,2004,False,0.00021916629339102656
165,sc,8040,False,0.0003759268729481846
166,##p,2361,False,0.00041673111263662577
167,",",1010,False,0.0002403854305157438
168,rs,12667,False,0.0003080381138715893
169,##yn,6038,False,0.0002348811976844445
170,##c,2278,False,0.00027430150657892227
171,",",1010,False,0.0002443081757519394
172,curl,15390,False,0.0005562857259064913
173,",",1010,False,0.00024893920635804534
174,sf,16420,False,0.00044582164264284074
175,##tp,25856,False,0.0005717687890864909
176,",",1010,False,0.0004066669207531959
177,and,1998,False,0.00021438351541291922
178,ft,3027,False,0.0003842828737106174
179,##p,2361,False,0.0005135832470841706
180,.,1012,False,0.0006990863475948572
181,in,1999,False,0.00017620022117625922
182,some,2070,False,0.00024129684607032686
183,cases,3572,False,0.0008905280265025795
184,",",1010,False,0.0002643817861098796
185,ad,4748,False,0.000553846184629947
186,##vers,14028,False,0.0009383182041347027
187,##aries,12086,False,0.0017133359797298908
188,may,2089,False,0.00043514277786016464
189,be,2022,False,0.000319601153023541
190,able,2583,False,0.0009410518687218428
191,to,2000,False,0.00029507707222364843
192,leverage,21155,False,0.0015729475999251008
193,web,4773,False,0.0006226860568858683
194,services,2578,False,0.0008112441864795983
195,such,2107,False,0.0002324106899322942
196,as,2004,False,0.0001827100495574996
197,drop,4530,False,0.00035074108745902777
198,##box,8758,False,0.0006190166459418833
199,or,2030,False,0.00018615885346662253
200,one,2028,False,0.00017240199667867273
201,##drive,23663,False,0.0005551825161091983
202,to,2000,False,0.00019670510664582253
203,copy,6100,False,0.0008263832423835993
204,files,6764,False,0.00045883041457273066
205,from,2013,False,0.0001778367586666718
206,one,2028,False,0.00018618964531924576
207,machine,3698,False,0.0009727180586196482
208,to,2000,False,0.00018929217185359448
209,another,2178,False,0.000219496781937778
210,via,3081,False,0.000279169442364946
211,shared,4207,False,0.00042284015216864645
212,",",1010,False,0.00029245641781017184
213,automatically,8073,False,0.0005595448892563581
214,sync,26351,False,0.0005503364372998476
215,##ed,2098,False,0.00017755782755557448
216,folder,19622,False,0.00040715618524700403
217,##s,2015,False,0.00018254654423799366
218,.,1012,False,0.0006272366154007614
219,[SEP],102,True,0.02767699956893921
